"city,state",most_populous_city,state,abbrev_state
"Birmingham, Alabama",Birmingham,Alabama,AL
"Anchorage, Alaska",Anchorage,Alaska,AK
"Phoenix, Arizona",Phoenix,Arizona,AZ
"Little Rock, Arkansas",Little Rock,Arkansas,AR
"Los Angeles, California",Los Angeles,California,CA
"Denver, Colorado",Denver,Colorado,CO
"Bridgeport, Connecticut",Bridgeport,Connecticut,CT
"Wilmington, Delaware",Wilmington,Delaware,DE
"Jacksonville, Florida",Jacksonville,Florida,FL
"Atlanta, Georgia",Atlanta,Georgia,GA
"Honolulu, Hawaii",Honolulu,Hawaii,HI
"Boise, Idaho",Boise,Idaho,ID
"Chicago, Illinois",Chicago,Illinois,IL
"Indianapolis, Indiana",Indianapolis,Indiana,IN
"Des Moines, Iowa",Des Moines,Iowa,IA
"Wichita, Kansas",Wichita,Kansas,KS
"Louisville, Kentucky",Louisville,Kentucky,KY
"New Orleans, Louisiana",New Orleans,Louisiana,LA
"Portland, Maine",Portland,Maine,ME
"Baltimore, Maryland",Baltimore,Maryland,MD
"Boston, Massachusetts",Boston,Massachusetts,MA
"Detroit, Michigan",Detroit,Michigan,MI
"Minneapolis, Minnesota",Minneapolis,Minnesota,MN
"Jackson, Mississippi",Jackson,Mississippi,MS
"Kansas City, Missouri",Kansas City,Missouri,MO
"Billings, Montana",Billings,Montana,MT
"Omaha, Nebraska",Omaha,Nebraska,NE
"Las Vegas, Nevada",Las Vegas,Nevada,NV
"Manchester, New Hampshire",Manchester,New Hampshire,NH
"Newark, New Jersey",Newark,New Jersey,NJ
"Albuquerque, New Mexico",Albuquerque,New Mexico,NM
"New York City, New York",New York City,New York,NY
"Charlotte, North Carolina",Charlotte,North Carolina,NC
"Fargo, North Dakota",Fargo,North Dakota,ND
"Columbus, Ohio",Columbus,Ohio,OH
"Oklahoma City, Oklahoma",Oklahoma City,Oklahoma,OK
"Portland, Oregon",Portland,Oregon,OR
"Philadelphia, Pennsylvania",Philadelphia,Pennsylvania,PA
"Providence, Rhode Island",Providence,Rhode Island,RI
"Charleston, South Carolina",Charleston,South Carolina,SC
"Sioux Falls, South Dakota",Sioux Falls,South Dakota,SD
"Nashville, Tennessee",Nashville,Tennessee,TN
"Houston, Texas",Houston,Texas,TX
"Salt Lake City, Utah",Salt Lake City,Utah,UT
"Burlington, Vermont",Burlington,Vermont,VT
"Virginia Beach, Virginia",Virginia Beach,Virginia,VA
"Seattle, Washington",Seattle,Washington,WA
"Charleston, West Virginia",Charleston,West Virginia,WV
"Milwaukee, Wisconsin",Milwaukee,Wisconsin,WI
"Cheyenne, Wyoming",Cheyenne,Wyoming,WY
